Location,2018_Per_capita_personal_income_in_dollars,2019_Per_capita_personal_income_in_dollars,2020_Per_capita_personal_income_in_dollars,2019_Percent_change,2020_Percent_change
Paulding,"38,249","39,309","42,595",2.8,8.4
Peach,"36,947","38,915","41,931",5.3,7.8
Pickens,"47,461","48,712","50,868",2.6,4.4
Pierce,"35,671","36,889","39,979",3.4,8.4
Pike,"40,168","41,710","44,311",3.8,6.2
Polk,"32,097","33,470","36,190",4.3,8.1
Pulaski,"30,734","31,876","34,636",3.7,8.7
Putnam,"43,753","45,402","48,498",3.8,6.8
Quitman,"30,839","30,994","34,810",0.5,12.3
Rabun,"40,470","41,317","44,160",2.1,6.9
Randolph,"31,828","33,565","37,204",5.5,10.8
Richmond,"37,321","38,663","41,999",3.6,8.6
Rockdale,"35,074","36,434","40,051",3.9,9.9
Schley,"31,890","33,278","35,588",4.4,6.9
Screven,"33,563","34,880","37,694",3.9,8.1
Seminole,"41,511","45,837","48,082",10.4,4.9
Spalding,"34,319","35,579","38,792",3.7,9.0
Stephens,"36,804","37,417","40,153",1.7,7.3
Stewart,"21,687","22,591","25,041",4.2,10.8
Sumter,"35,051","37,011","40,387",5.6,9.1
Talbot,"33,694","35,033","38,621",4.0,10.2
Taliaferro,"32,818","36,923","36,860",12.5,-0.2
Tattnall,"28,268","28,462","30,222",0.7,6.2
Taylor,"30,456","32,157","33,630",5.6,4.6
Telfair,"20,755","20,826","22,644",0.3,8.7
Terrell,"38,739","41,393","44,976",6.9,8.7
Thomas,"44,536","45,470","49,443",2.1,8.7
Tift,"37,273","38,346","42,279",2.9,10.3
Toombs,"34,881","35,912","40,041",3.0,11.5
Towns,"38,273","40,105","42,908",4.8,7.0
Treutlen,"28,662","28,946","31,899",1.0,10.2
Troup,"35,676","37,461","40,920",5.0,9.2
Turner,"33,394","36,111","39,281",8.1,8.8
Twiggs,"40,393","40,913","44,686",1.3,9.2
Union,"36,919","38,294","39,839",3.7,4.0
Upson,"34,893","36,600","39,391",4.9,7.6
Walker,"32,834","33,883","36,157",3.2,6.7
Walton,"41,047","42,588","44,977",3.8,5.6
Ware,"33,082","33,737","37,306",2.0,10.6
Warren,"33,999","36,015","39,545",5.9,9.8
Washington,"34,685","35,889","39,151",3.5,9.1
Wayne,"31,330","31,927","34,877",1.9,9.2
Webster,"32,221","33,487","36,032",3.9,7.6
Wheeler,"18,465","18,944","21,087",2.6,11.3
White,"35,641","36,814","38,858",3.3,5.6
Whitfield,"39,105","40,622","43,456",3.9,7.0
Wilcox,"26,687","28,621","29,895",7.2,4.5
Wilkes,"40,172","41,337","42,093",2.9,1.8
Wilkinson,"35,334","37,209","40,158",5.3,7.9
Worth,"34,010","36,250","39,102",6.6,7.9
Hawaii,"53,534","55,464","58,655",3.6,5.8
Hawaii,"40,925","42,551","46,281",4.0,8.8
Honolulu,"57,468","59,329","62,793",3.2,5.8
Kauai,"48,497","50,967","54,089",5.1,6.1
Maui + Kalawao,"47,886","50,536","51,838",5.5,2.6
Idaho,"43,766","45,741","48,759",4.5,6.6
Ada,"53,014","54,506","57,215",2.8,5.0
Adams,"36,701","39,154","41,066",6.7,4.9
Bannock,"37,202","38,595","41,272",3.7,6.9
Bear Lake,"39,545","42,115","46,370",6.5,10.1
Benewah,"37,448","39,409","42,803",5.2,8.6
Bingham,"35,323","37,758","42,541",6.9,12.7
Blaine,"112,089","116,542","117,681",4.0,1.0
Boise,"40,739","42,821","45,422",5.1,6.1
Bonner,"40,496","42,190","44,751",4.2,6.1
Bonneville,"48,007","52,881","54,601",10.2,3.3
Boundary,"36,048","37,189","39,272",3.2,5.6
Butte,"39,925","43,651","51,370",9.3,17.7
Camas,"43,000","51,540","53,373",19.9,3.6
Canyon,"33,435","34,640","37,611",3.6,8.6
Caribou,"38,219","41,449","48,595",8.5,17.2
Cassia,"43,245","46,027","51,149",6.4,11.1
Clark,"43,783","41,440","47,615",-5.4,14.9
Clearwater,"35,043","35,730","39,140",2.0,9.5
Custer,"41,773","43,698","48,718",4.6,11.5
Elmore,"36,582","39,539","42,033",8.1,6.3
Franklin,"34,420","36,580","40,495",6.3,10.7
Fremont (includes Yellowstone National Park),"34,443","37,292","40,803",8.3,9.4
Gem,"37,755","39,663","42,561",5.1,7.3
Gooding,"52,886","59,569","68,597",12.6,15.2
Idaho,"33,955","35,343","39,182",4.1,10.9
Jefferson,"34,559","36,926","40,288",6.8,9.1
Jerome,"35,514","38,003","42,332",7.0,11.4
Kootenai,"45,311","46,762","48,953",3.2,4.7
Latah,"39,641","41,442","43,944",4.5,6.0
Lemhi,"40,720","43,160","47,981",6.0,11.2
Lewis,"46,246","48,762","54,918",5.4,12.6
Lincoln,"34,792","40,318","45,593",15.9,13.1
Madison,"27,165","28,436","30,838",4.7,8.4
Minidoka,"38,181","40,939","46,743",7.2,14.2
Nez Perce,"44,373","46,305","50,550",4.4,9.2
Oneida,"35,345","38,399","43,117",8.6,12.3
Owyhee,"35,423","38,606","42,616",9.0,10.4
Payette,"39,461","41,274","44,312",4.6,7.4
Power,"37,770","42,421","52,807",12.3,24.5
Shoshone,"35,168","36,063","40,953",2.5,13.6
Teton,"39,527","41,258","43,521",4.4,5.5
Twin Falls,"39,698","41,092","44,112",3.5,7.3
Valley,"48,829","50,329","52,298",3.1,3.9
Washington,"34,706","36,515","40,050",5.2,9.7
Illinois,"57,240","59,115","62,930",3.3,6.5
Adams,"46,466","47,593","51,779",2.4,8.8
Alexander,"34,510","37,560","43,272",8.8,15.2
Bond,"36,565","38,008","41,745",3.9,9.8
Boone,"47,321","48,062","51,066",1.6,6.3
Brown,"34,867","36,759","41,094",5.4,11.8
Bureau,"40,682","42,352","47,081",4.1,11.2
Calhoun,"41,418","43,234","47,665",4.4,10.2
Carroll,"43,501","44,351","50,871",2.0,14.7
Cass,"39,935","41,180","48,079",3.1,16.8
Champaign,"44,277","45,591","49,187",3.0,7.9
Christian,"41,014","42,155","46,873",2.8,11.2
Clark,"41,026","41,993","46,560",2.4,10.9
Clay,"40,226","39,623","45,559",-1.5,15.0
Clinton,"46,004","48,033","51,095",4.4,6.4
Coles,"39,952","42,106","45,967",5.4,9.2
Cook,"63,491","65,817","69,935",3.7,6.3
Crawford,"45,127","46,662","50,986",3.4,9.3
Cumberland,"73,616","73,276","80,116",-0.5,9.3
DeKalb,"40,515","41,918","45,555",3.5,8.7
De Witt,"46,775","46,742","53,339",-0.1,14.1
Douglas,"50,454","51,099","55,721",1.3,9.0
DuPage,"73,559","76,331","79,127",3.8,3.7
Edgar,"40,698","41,635","48,411",2.3,16.3
Edwards,"40,053","40,659","45,295",1.5,11.4
Effingham,"49,214","50,707","54,838",3.0,8.1
Fayette,"35,232","36,244","40,786",2.9,12.5
Ford,"48,240","51,927","58,512",7.6,12.7
Franklin,"36,944","37,648","41,625",1.9,10.6
Fulton,"37,411","38,014","42,264",1.6,11.2
Gallatin,"39,824","42,731","48,856",7.3,14.3
Greene,"35,421","35,876","42,437",1.3,18.3
Grundy,"54,647","59,397","61,862",8.7,4.2
Hamilton,"42,266","43,371","48,255",2.6,11.3
Hancock,"43,445","44,482","51,388",2.4,15.5
Hardin,"36,414","37,228","40,720",2.2,9.4
Henderson,"41,700","41,304","48,805",-0.9,18.2
Henry,"45,006","46,088","51,103",2.4,10.9
Iroquois,"42,897","44,138","51,824",2.9,17.4
Jackson,"36,450","37,345","40,297",2.5,7.9
Jasper,"40,616","41,157","48,090",1.3,16.8
Jefferson,"39,183","40,141","44,163",2.4,10.0
Jersey,"41,665","42,742","46,828",2.6,9.6
Jo Daviess,"47,262","48,547","53,399",2.7,10.0
Johnson,"35,890","36,561","39,793",1.9,8.8
Kane,"51,393","52,654","55,976",2.5,6.3
Kankakee,"41,173","42,857","46,988",4.1,9.6
Kendall,"49,244","50,577","53,998",2.7,6.8
Knox,"38,982","39,567","44,921",1.5,13.5
Lake,"79,644","82,580","85,159",3.7,3.1
LaSalle,"44,203","45,403","49,292",2.7,8.6
Lawrence,"30,328","30,565","35,878",0.8,17.4
Lee,"41,131","42,167","47,249",2.5,12.1
Livingston,"44,522","44,840","52,100",0.7,16.2
Logan,"36,635","37,131","41,682",1.4,12.3
McDonough,"37,728","37,675","41,685",-0.1,10.6
McHenry,"55,474","57,126","60,097",3.0,5.2
McLean,"49,302","49,760","54,639",0.9,9.8
Macon,"47,662","48,151","52,196",1.0,8.4
Macoupin,"40,607","41,715","45,948",2.7,10.1
Madison,"46,273","48,261","51,433",4.3,6.6
Marion,"41,322","42,636","46,966",3.2,10.2
Marshall,"45,334","45,100","51,165",-0.5,13.4
Mason,"40,755","40,716","47,178",-0.1,15.9
Massac,"37,138","39,601","44,089",6.6,11.3
Menard,"45,609","46,531","51,028",2.0,9.7
Mercer,"46,083","46,961","53,966",1.9,14.9
Monroe,"57,014","58,637","61,366",2.8,4.7
Montgomery,"35,146","35,771","40,180",1.8,12.3
Morgan,"39,039","39,832","43,763",2.0,9.9
Moultrie,"63,193","68,682","69,297",8.7,0.9
Ogle,"45,986","46,704","50,110",1.6,7.3
Peoria,"49,828","50,668","54,609",1.7,7.8
Perry,"36,623","37,749","41,366",3.1,9.6
Piatt,"53,874","54,025","59,952",0.3,11.0
Pike,"40,132","40,887","47,052",1.9,15.1
Pope,"28,930","29,451","33,286",1.8,13.0
Pulaski,"36,034","37,776","43,533",4.8,15.2
Putnam,"58,408","64,023","66,839",9.6,4.4
Randolph,"36,105","37,946","41,919",5.1,10.5
Richland,"40,796","41,737","46,318",2.3,11.0
Rock Island,"44,137","44,418","48,492",0.6,9.2
St. Clair,"44,570","46,124","49,646",3.5,7.6
Saline,"39,105","40,205","44,321",2.8,10.2
Sangamon,"47,769","49,380","52,891",3.4,7.1
Schuyler,"41,546","43,995","49,505",5.9,12.5
Scott,"41,434","40,736","47,152",-1.7,15.8
Shelby,"39,748","39,898","45,745",0.4,14.7
Stark,"43,303","42,358","51,267",-2.2,21.0
Stephenson,"41,701","43,106","46,534",3.4,8.0
Tazewell,"47,615","48,302","51,920",1.4,7.5
Union,"41,842","43,107","48,028",3.0,11.4
Vermilion,"38,433","39,696","44,533",3.3,12.2
Wabash,"42,412","43,194","47,543",1.8,10.1
Warren,"40,693","40,489","47,232",-0.5,16.7
Washington,"47,238","48,131","53,789",1.9,11.8
Wayne,"37,839","38,950","44,127",2.9,13.3
White,"48,533","48,700","52,223",0.3,7.2
Whiteside,"43,056","44,170","48,757",2.6,10.4
Will,"53,125","54,456","57,700",2.5,6.0
Williamson,"44,050","45,418","48,625",3.1,7.1
Winnebago,"43,166","43,972","47,404",1.9,7.8
Woodford,"52,346","52,845","56,797",1.0,7.5
Indiana,"47,292","48,980","51,926",3.6,6.0
Adams,"39,244","39,986","42,452",1.9,6.2
Allen,"46,677","47,828","50,327",2.5,5.2
Bartholomew,"51,441","53,268","55,804",3.6,4.8
Benton,"40,345","41,575","48,450",3.0,16.5
Blackford,"37,179","38,529","41,561",3.6,7.9
Boone,"74,825","77,641","80,314",3.8,3.4
Brown,"47,440","49,687","51,505",4.7,3.7
Carroll,"42,307","43,243","46,792",2.2,8.2
Cass,"38,531","40,398","44,305",4.8,9.7
Clark,"43,880","45,231","48,210",3.1,6.6
Clay,"37,546","38,246","41,941",1.9,9.7
Clinton,"38,878","39,760","43,027",2.3,8.2
Crawford,"33,834","34,790","38,276",2.8,10.0
Daviess,"42,512","44,086","47,919",3.7,8.7
Dearborn,"47,799","50,207","52,778",5.0,5.1
Decatur,"42,470","44,414","48,033",4.6,8.1
DeKalb,"44,159","46,467","48,937",5.2,5.3
Delaware,"36,727","38,153","40,948",3.9,7.3
Dubois,"55,580","56,927","59,524",2.4,4.6
Elkhart,"46,541","46,845","49,875",0.7,6.5
Fayette,"40,252","41,537","45,375",3.2,9.2
Floyd,"55,305","57,236","60,233",3.5,5.2
Fountain,"39,782","40,541","44,685",1.9,10.2
Franklin,"46,082","47,405","51,316",2.9,8.3
Fulton,"41,710","43,186","46,613",3.5,7.9
Gibson,"44,822","45,743","48,976",2.1,7.1
Grant,"40,073","40,647","43,997",1.4,8.2
Greene,"39,141","41,210","44,437",5.3,7.8
Hamilton,"76,293","78,343","80,426",2.7,2.7
Hancock,"51,058","52,151","55,084",2.1,5.6
Harrison,"42,212","43,675","46,468",3.5,6.4
Hendricks,"50,539","51,614","55,169",2.1,6.9
Henry,"38,092","39,833","43,016",4.6,8.0
Howard,"41,689","42,409","44,945",1.7,6.0
Huntington,"41,674","42,630","45,969",2.3,7.8
Jackson,"43,374","44,568","47,673",2.8,7.0
Jasper,"43,614","45,113","48,987",3.4,8.6
Jay,"38,551","37,883","42,194",-1.7,11.4
Jefferson,"42,315","44,456","48,068",5.1,8.1
Jennings,"39,612","41,770","45,380",5.4,8.6
Johnson,"48,999","50,596","53,081",3.3,4.9
Knox,"44,094","44,926","49,156",1.9,9.4
Kosciusko,"47,670","48,877","51,687",2.5,5.7
Lagrange,"42,943","42,717","45,115",-0.5,5.6
Lake,"45,236","45,974","49,229",1.6,7.1
LaPorte,"42,248","43,065","46,274",1.9,7.5
Lawrence,"40,664","42,567","45,897",4.7,7.8
Madison,"37,918","39,410","42,283",3.9,7.3
Marion,"52,513","56,383","59,264",7.4,5.1
Marshall,"41,769","42,204","45,277",1.0,7.3
Martin,"38,391","40,169","44,160",4.6,9.9
Miami,"34,632","35,442","37,669",2.3,6.3
Monroe,"42,192","44,014","46,693",4.3,6.1
Montgomery,"39,534","41,060","44,415",3.9,8.2
Morgan,"44,038","45,667","47,894",3.7,4.9
Newton,"39,533","40,954","46,215",3.6,12.8
Noble,"40,021","41,496","44,436",3.7,7.1
Ohio,"39,925","41,514","44,555",4.0,7.3
Orange,"37,740","38,167","41,640",1.1,9.1
Owen,"39,837","41,570","45,143",4.4,8.6
Parke,"35,798","37,924","41,554",5.9,9.6
Perry,"37,577","37,905","40,140",0.9,5.9
Pike,"40,160","41,612","44,603",3.6,7.2
Porter,"53,520","54,814","57,654",2.4,5.2
Posey,"48,136","51,656","54,646",7.3,5.8
Pulaski,"42,840","44,831","50,558",4.6,12.8
Putnam,"37,410","38,575","41,404",3.1,7.3
Randolph,"37,567","39,095","44,027",4.1,12.6
Ripley,"41,761","43,024","46,992",3.0,9.2
Rush,"44,792","46,328","49,889",3.4,7.7
St. Joseph,"47,718","48,244","51,141",1.1,6.0
Scott,"37,487","38,776","41,981",3.4,8.3
Shelby,"43,715","45,153","48,628",3.3,7.7
Spencer,"43,605","45,829","47,890",5.1,4.5
Starke,"34,643","35,468","38,910",2.4,9.7
Steuben,"43,764","45,556","48,032",4.1,5.4
Sullivan,"35,499","36,583","39,903",3.1,9.1
Switzerland,"31,534","32,559","35,647",3.3,9.5
Tippecanoe,"38,942","39,533","41,446",1.5,4.8
Tipton,"45,875","47,072","50,127",2.6,6.5
Union,"38,664","39,613","43,626",2.5,10.1
Vanderburgh,"45,350","47,499","50,033",4.7,5.3
Vermillion,"37,068","37,996","41,997",2.5,10.5
Vigo,"37,829","39,100","41,895",3.4,7.1
Wabash,"41,972","42,942","46,847",2.3,9.1
Warren,"43,529","44,397","49,845",2.0,12.3
Warrick,"56,722","58,628","60,188",3.4,2.7
Washington,"38,985","39,989","43,519",2.6,8.8
Wayne,"40,945","42,400","45,499",3.6,7.3
Wells,"41,889","42,730","45,704",2.0,7.0
White,"42,766","43,768","47,633",2.3,8.8
Whitley,"45,155","47,029","49,256",4.2,4.7
Iowa,"49,548","50,533","53,478",2.0,5.8
Adair,"51,910","51,911","56,422",0.0,8.7
Adams,"60,013","57,401","59,569",-4.4,3.8
Allamakee,"46,440","48,046","51,107",3.5,6.4
Appanoose,"38,183","38,918","42,125",1.9,8.2
Audubon,"50,456","51,186","54,313",1.4,6.1
Benton,"52,840","53,675","57,277",1.6,6.7
Black Hawk,"45,028","46,103","49,133",2.4,6.6
Boone,"47,380","49,084","52,028",3.6,6.0
Bremer,"48,625","49,138","52,608",1.1,7.1
Buchanan,"47,927","48,404","51,065",1.0,5.5
Buena Vista,"45,429","44,069","48,077",-3.0,9.1
Butler,"45,903","46,750","49,428",1.8,5.7
Calhoun,"48,536","49,151","52,585",1.3,7.0
Carroll,"54,375","53,342","56,244",-1.9,5.4
Cass,"47,134","48,355","50,849",2.6,5.2
Cedar,"53,606","54,041","56,528",0.8,4.6
Cerro Gordo,"51,458","50,746","53,643",-1.4,5.7
Cherokee,"60,086","56,677","60,881",-5.7,7.4
Chickasaw,"57,666","55,503","59,495",-3.8,7.2
Clarke,"41,375","40,631","43,807",-1.8,7.8
Clay,"49,896","51,093","54,395",2.4,6.5
Clayton,"48,440","49,496","53,657",2.2,8.4
Clinton,"43,926","44,909","48,328",2.2,7.6
Crawford,"41,049","42,083","45,230",2.5,7.5
Dallas,"67,409","67,878","70,851",0.7,4.4
Davis,"38,647","39,508","41,649",2.2,5.4
Decatur,"34,732","35,075","38,347",1.0,9.3
Delaware,"51,013","50,248","54,843",-1.5,9.1
Des Moines,"48,752","49,577","51,704",1.7,4.3
Dickinson,"59,230","61,473","63,319",3.8,3.0
Dubuque,"49,703","51,329","54,751",3.3,6.7
Emmet,"44,570","45,441","46,654",2.0,2.7
Fayette,"43,776","43,734","47,373",-0.1,8.3
Floyd,"46,364","47,251","50,215",1.9,6.3
Franklin,"47,140","47,032","51,028",-0.2,8.5
Fremont,"43,761","47,724","50,870",9.1,6.6
Greene,"46,954","48,006","52,647",2.2,9.7
Grundy,"51,112","51,819","55,615",1.4,7.3
Guthrie,"51,844","51,268","54,755",-1.1,6.8
Hamilton,"54,236","50,543","51,584",-6.8,2.1
Hancock,"52,790","51,365","54,318",-2.7,5.7
Hardin,"48,418","47,644","50,328",-1.6,5.6
Harrison,"45,088","47,471","49,678",5.3,4.6
Henry,"42,808","43,772","46,541",2.3,6.3
Howard,"48,497","48,597","52,726",0.2,8.5
Humboldt,"48,589","49,859","52,298",2.6,4.9
Ida,"50,870","52,025","57,429",2.3,10.4
Iowa,"53,500","54,941","58,759",2.7,6.9
Jackson,"44,437","45,994","49,878",3.5,8.4
Jasper,"42,019","43,692","46,473",4.0,6.4
Jefferson,"40,207","40,903","42,674",1.7,4.3
Johnson,"53,822","54,769","56,573",1.8,3.3
Jones,"43,438","44,454","47,506",2.3,6.9
Keokuk,"43,852","44,403","48,599",1.3,9.4
Kossuth,"51,412","50,442","53,422",-1.9,5.9
Lee,"41,094","42,953","45,548",4.5,6.0
Linn,"52,725","53,578","56,592",1.6,5.6
Louisa,"41,954","42,777","44,821",2.0,4.8
Lucas,"41,442","42,585","44,707",2.8,5.0
Lyon,"57,059","55,786","57,766",-2.2,3.5
Madison,"49,150","50,345","53,244",2.4,5.8
Mahaska,"43,180","43,462","46,388",0.7,6.7
Marion,"48,351","50,704","53,648",4.9,5.8
Marshall,"42,260","43,722","47,696",3.5,9.1
Mills,"54,814","58,598","60,384",6.9,3.0
Mitchell,"63,254","62,670","62,037",-0.9,-1.0
Monona,"44,626","46,952","50,807",5.2,8.2
Monroe,"43,339","45,325","48,423",4.6,6.8
Montgomery,"41,346","42,740","45,665",3.4,6.8
Muscatine,"46,619","48,157","51,135",3.3,6.2
O'Brien,"54,381","54,710","57,629",0.6,5.3
Osceola,"51,758","48,362","50,706",-6.6,4.8
Page,"41,071","42,970","47,321",4.6,10.1
Palo Alto,"54,550","50,554","51,679",-7.3,2.2
Plymouth,"55,481","56,634","59,460",2.1,5.0
Pocahontas,"53,255","52,929","53,074",-0.6,0.3
Polk,"52,762","54,049","57,080",2.4,5.6
Pottawattamie,"44,820","45,642","47,921",1.8,5.0
Poweshiek,"44,959","46,021","50,139",2.4,8.9
Ringgold,"45,840","46,574","50,196",1.6,7.8
Sac,"54,227","56,400","59,653",4.0,5.8
Scott,"53,655","55,094","58,465",2.7,6.1
Shelby,"51,543","52,317","55,229",1.5,5.6
Sioux,"53,439","52,234","55,209",-2.3,5.7
Story,"42,525","44,100","45,951",3.7,4.2
Tama,"45,254","46,647","52,315",3.1,12.2
Taylor,"40,877","41,479","44,763",1.5,7.9
Union,"40,565","41,084","43,735",1.3,6.5
Van Buren,"40,690","40,328","41,781",-0.9,3.6
Wapello,"38,404","39,576","42,889",3.1,8.4
Warren,"50,327","51,955","54,251",3.2,4.4
Washington,"57,480","60,857","59,565",5.9,-2.1
Wayne,"42,610","42,605","46,743",0.0,9.7
Webster,"44,853","46,562","48,862",3.8,4.9
Winnebago,"42,605","42,377","45,722",-0.5,7.9
Winneshiek,"48,612","49,610","54,036",2.1,8.9
Woodbury,"43,130","44,690","47,731",3.6,6.8
Worth,"40,467","41,710","45,566",3.1,9.2
Wright,"51,879","48,770","52,825",-6.0,8.3
Kansas,"51,139","53,203","56,099",4.0,5.4
Allen,"39,665","42,756","45,840",7.8,7.2
Anderson,"38,277","39,196","43,864",2.4,11.9
Atchison,"38,114","39,743","42,974",4.3,8.1
Barber,"42,895","43,570","49,804",1.6,14.3
Barton,"45,018","47,429","49,436",5.4,4.2
Bourbon,"45,029","41,792","44,521",-7.2,6.5
Brown,"45,226","45,349","48,026",0.3,5.9
Butler,"46,265","48,192","50,789",4.2,5.4
Chase,"51,234","50,941","56,852",-0.6,11.6
Chautauqua,"40,456","41,514","44,908",2.6,8.2
Cherokee,"40,588","41,760","44,739",2.9,7.1
Cheyenne,"45,903","45,768","54,465",-0.3,19.0
Clark,"54,118","54,420","60,647",0.6,11.4
Clay,"41,849","43,526","47,126",4.0,8.3
Cloud,"38,195","39,807","44,452",4.2,11.7
Coffey,"52,834","52,701","56,988",-0.3,8.1
Comanche,"42,445","40,844","46,141",-3.8,13.0
Cowley,"37,835","39,690","42,334",4.9,6.7
Crawford,"37,947","39,587","42,963",4.3,8.5
Decatur,"42,366","43,934","51,018",3.7,16.1
Dickinson,"41,120","42,873","47,348",4.3,10.4
Doniphan,"39,552","42,643","44,885",7.8,5.3
Douglas,"43,888","45,174","47,494",2.9,5.1
Edwards,"54,395","53,549","61,904",-1.6,15.6
Elk,"38,988","38,779","42,431",-0.5,9.4
Ellis,"45,419","47,072","50,785",3.6,7.9
Ellsworth,"43,626","46,178","47,276",5.8,2.4
Finney,"43,473","43,588","46,899",0.3,7.6
Ford,"39,188","40,145","45,081",2.4,12.3
Franklin,"42,645","43,930","46,437",3.0,5.7
Geary,"49,684","52,022","54,663",4.7,5.1
Gove,"57,091","56,396","61,150",-1.2,8.4
Graham,"48,953","49,939","56,190",2.0,12.5
Grant,"46,105","43,820","44,835",-5.0,2.3
Gray,"60,129","57,854","60,355",-3.8,4.3
Greeley,"72,675","66,094","89,737",-9.1,35.8
Greenwood,"40,959","41,837","46,032",2.1,10.0
Hamilton,"54,743","55,843","75,840",2.0,35.8
Harper,"46,455","52,777","57,870",13.6,9.7
Harvey,"42,453","43,822","46,698",3.2,6.6
Haskell,"61,737","52,604","56,311",-14.8,7.0
Hodgeman,"53,439","53,124","61,030",-0.6,14.9
Jackson,"42,018","43,163","46,523",2.7,7.8
Jefferson,"44,870","44,598","48,099",-0.6,7.9
Jewell,"49,161","49,336","55,860",0.4,13.2
Johnson,"74,892","78,670","80,681",5.0,2.6
Kearny,"50,336","52,915","61,932",5.1,17.0
Kingman,"43,294","46,275","50,889",6.9,10.0
Kiowa,"41,155","40,295","48,250",-2.1,19.7
Labette,"41,834","42,939","47,114",2.6,9.7
Lane,"69,738","66,005","72,211",-5.4,9.4
Leavenworth,"42,890","44,060","46,176",2.7,4.8
Lincoln,"41,892","43,879","52,328",4.7,19.3
Linn,"38,793","40,714","44,155",5.0,8.5
Logan,"45,656","48,091","57,732",5.3,20.0
Lyon,"38,347","38,840","43,035",1.3,10.8
McPherson,"51,311","55,906","58,438",9.0,4.5
Marion,"41,646","42,603","46,588",2.3,9.4
Marshall,"43,181","43,858","48,358",1.6,10.3
Meade,"57,132","60,265","65,633",5.5,8.9
Miami,"48,650","49,837","52,811",2.4,6.0
Mitchell,"56,707","60,282","63,384",6.3,5.1
Montgomery,"36,907","37,469","40,651",1.5,8.5
Morris,"43,885","42,993","48,171",-2.0,12.0
Morton,"44,732","44,985","54,151",0.6,20.4
Nemaha,"51,821","51,253","56,013",-1.1,9.3
Neosho,"38,823","40,400","43,566",4.1,7.8
Ness,"49,497","52,570","60,508",6.2,15.1
Norton,"40,991","42,973","47,679",4.8,11.0
Osage,"42,142","42,799","46,698",1.6,9.1
Osborne,"47,012","47,340","51,423",0.7,8.6
Ottawa,"41,390","41,714","45,692",0.8,9.5
Pawnee,"39,112","41,101","43,986",5.1,7.0
Phillips,"49,888","51,310","56,496",2.9,10.1
Pottawatomie,"53,433","53,697","57,495",0.5,7.1
Pratt,"46,936","49,737","53,750",6.0,8.1
Rawlins,"49,858","56,570","65,230",13.5,15.3
Reno,"39,799","41,671","44,529",4.7,6.9
Republic,"42,539","44,316","49,163",4.2,10.9
Rice,"41,936","43,331","46,275",3.3,6.8
Riley,"41,618","43,056","45,177",3.5,4.9
Rooks,"39,438","39,555","46,817",0.3,18.4
Rush,"46,274","50,981","59,190",10.2,16.1
Russell,"43,822","44,875","48,430",2.4,7.9
Saline,"49,201","50,099","53,320",1.8,6.4
Scott,"56,898","55,993","60,520",-1.6,8.1
Sedgwick,"51,889","54,385","56,550",4.8,4.0
Seward,"37,915","38,254","43,606",0.9,14.0
Shawnee,"46,809","48,091","51,216",2.7,6.5
Sheridan,"44,948","44,967","50,691",0.0,12.7
Sherman,"43,189","42,422","48,439",-1.8,14.2
Smith,"43,589","46,587","54,497",6.9,17.0
Stafford,"45,168","46,272","50,623",2.4,9.4
Stanton,"60,721","73,965","85,633",21.8,15.8
Stevens,"40,348","43,272","48,686",7.2,12.5
Sumner,"38,422","41,335","44,392",7.6,7.4
Thomas,"46,960","47,934","51,457",2.1,7.3
Trego,"47,748","48,982","56,311",2.6,15.0
Wabaunsee,"50,961","51,245","54,428",0.6,6.2
Wallace,"51,176","50,175","59,159",-2.0,17.9
Washington,"44,312","45,852","52,731",3.5,15.0
Wichita,"61,298","61,878","61,032",0.9,-1.4
Wilson,"41,460","41,838","45,341",0.9,8.4
Woodson,"37,622","39,032","43,381",3.7,11.1
Wyandotte,"33,097","34,371","36,961",3.8,7.5
Kentucky,"42,193","43,881","47,339",4.0,7.9
Adair,"31,196","32,066","35,880",2.8,11.9
Allen,"32,132","33,024","35,499",2.8,7.5
Anderson,"39,371","40,950","44,009",4.0,7.5
Ballard,"36,585","40,587","45,124",10.9,11.2
Barren,"36,026","37,800","41,057",4.9,8.6
Bath,"30,462","31,578","35,333",3.7,11.9
Bell,"29,313","30,262","34,618",3.2,14.4
Boone,"48,353","50,183","53,405",3.8,6.4
Bourbon,"47,826","50,326","51,624",5.2,2.6
Boyd,"39,009","40,201","43,917",3.1,9.2
Boyle,"37,604","39,983","43,024",6.3,7.6
Bracken,"36,913","38,343","42,258",3.9,10.2
Breathitt,"33,430","34,070","38,011",1.9,11.6
Breckinridge,"33,473","35,124","39,084",4.9,11.3
Bullitt,"41,649","43,110","46,618",3.5,8.1
Butler,"33,858","35,294","38,969",4.2,10.4
Caldwell,"33,420","35,425","40,364",6.0,13.9
Calloway,"34,946","36,114","38,629",3.3,7.0
Campbell,"48,173","50,368","53,445",4.6,6.1
Carlisle,"39,301","44,953","48,900",14.4,8.8
Carroll,"36,325","38,068","41,568",4.8,9.2
Carter,"30,632","31,902","36,002",4.1,12.9
Casey,"30,470","31,686","36,436",4.0,15.0
Christian,"38,002","39,298","42,884",3.4,9.1
Clark,"39,125","40,745","43,952",4.1,7.9
Clay,"30,169","30,760","35,259",2.0,14.6
Clinton,"31,305","31,584","35,609",0.9,12.7
Crittenden,"34,576","36,302","39,879",5.0,9.9
Cumberland,"33,925","35,993","44,628",6.1,24.0
Daviess,"41,251","42,741","46,373",3.6,8.5
