Location,2018_Per_capita_personal_income_in_dollars,2019_Per_capita_personal_income_in_dollars,2020_Per_capita_personal_income_in_dollars,2019_Percent_change,2020_Percent_change
Navajo,"31,400","32,007","36,169",1.9,13.0
Pima,"43,103","44,649","48,373",3.6,8.3
Pinal,"31,679","32,699","35,949",3.2,9.9
Santa Cruz,"37,151","38,274","42,204",3.0,10.3
Yavapai,"40,098","41,076","44,490",2.4,8.3
Yuma,"33,672","35,065","40,800",4.1,16.4
Arkansas,"43,446","44,788","47,235",3.1,5.5
Arkansas,"44,635","46,005","50,534",3.1,9.8
Ashley,"35,682","37,318","38,489",4.6,3.1
Baxter,"36,702","37,854","39,950",3.1,5.5
Benton,"92,758","94,108","94,289",1.5,0.2
Boone,"35,466","36,174","38,108",2.0,5.3
Bradley,"38,756","39,097","42,037",0.9,7.5
Calhoun,"34,321","35,808","38,509",4.3,7.5
Carroll,"33,298","32,925","34,692",-1.1,5.4
Chicot,"36,744","38,927","44,762",5.9,15.0
Clark,"35,696","36,903","39,450",3.4,6.9
Clay,"34,740","35,973","39,157",3.5,8.9
Cleburne,"37,876","39,296","41,656",3.7,6.0
Cleveland,"40,108","39,663","40,366",-1.1,1.8
Columbia,"36,561","37,225","38,806",1.8,4.2
Conway,"38,063","38,465","40,633",1.1,5.6
Craighead,"37,129","38,365","40,728",3.3,6.2
Crawford,"32,745","33,837","35,919",3.3,6.2
Crittenden,"36,828","38,397","41,474",4.3,8.0
Cross,"35,000","37,334","41,715",6.7,11.7
Dallas,"35,297","37,188","40,611",5.4,9.2
Desha,"37,227","39,508","44,920",6.1,13.7
Drew,"36,257","37,906","40,726",4.5,7.4
Faulkner,"38,103","39,335","41,943",3.2,6.6
Franklin,"33,011","32,841","33,885",-0.5,3.2
Fulton,"27,978","28,457","31,840",1.7,11.9
Garland,"40,053","41,502","44,358",3.6,6.9
Grant,"37,751","39,324","41,674",4.2,6.0
Greene,"34,554","35,869","38,560",3.8,7.5
Hempstead,"31,739","31,799","33,760",0.2,6.2
Hot Spring,"30,887","31,697","34,110",2.6,7.6
Howard,"35,903","34,068","34,751",-5.1,2.0
Independence,"35,115","36,292","38,266",3.4,5.4
Izard,"30,400","30,681","32,606",0.9,6.3
Jackson,"37,536","38,054","41,646",1.4,9.4
Jefferson,"34,510","36,060","39,443",4.5,9.4
Johnson,"28,685","28,774","30,728",0.3,6.8
Lafayette,"35,151","35,672","38,307",1.5,7.4
Lawrence,"33,205","33,601","38,065",1.2,13.3
Lee,"27,409","30,263","32,359",10.4,6.9
Lincoln,"26,781","27,710","29,008",3.5,4.7
Little River,"34,014","34,392","37,075",1.1,7.8
Logan,"33,286","32,662","34,433",-1.9,5.4
Lonoke,"39,677","40,825","43,537",2.9,6.6
Madison,"34,972","33,906","34,012",-3.0,0.3
Marion,"30,499","31,494","33,493",3.3,6.3
Miller,"33,580","34,620","37,065",3.1,7.1
Mississippi,"32,888","35,915","37,730",9.2,5.1
Monroe,"32,365","35,474","40,475",9.6,14.1
